domain,homepage_url,all_emails,site_domain_emails,parent_company_emails,shared_external_emails,external_company_emails,third_party_provider_emails,competitors,detected_competitor,categories,email_count,email_status,notes
4media.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
advancing-beyond-the-spectrum.breezy.hr,https://advancing-beyond-the-spectrum.breezy.hr/,hr@abstherapy.org,,,,hr@abstherapy.org,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
agapehair-wellness.com,https://www.agapehair-wellness.com/,info@agapehair-wellness.com,info@agapehair-wellness.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
ailo.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
akronnphc.org,https://akronnphc.org/,team@latofonts.com,,,,team@latofonts.com,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
alljobportal.com,https://alljobportal.com/,support@alljobportal.com,support@alljobportal.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
amitruck.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
anchour.com,https://www.anchour.com/,info@anchour.com,info@anchour.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
apkudo-inc.breezy.hr,https://apkudo-inc.breezy.hr/,hr@apkudo.com,,,,hr@apkudo.com,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
arryved.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
aten-design-group.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
austinhistory.org,https://austinhistory.org/,info@austinhistory.org,info@austinhistory.org,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
barber-national-institute.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
barnvaktistockholm.se,https://barnvaktistockholm.se/,hello@barnakademin.com,,,hello@barnakademin.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
battelle-uk-limited.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
bazaarsm.com,https://bazaarsm.com/,info@bazaarsm.com,info@bazaarsm.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
beatclub-inc.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
benefits-data-trust.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
bilingualbabysitters.se,https://bilingualbabysitters.se/,hello@barnakademin.com,,,hello@barnakademin.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
black-elm-coffee.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
carsome-careers-id.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
carsome-careers-thailand.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
cchub.africa,https://cchub.africa/,tip-offs@deloitte.com.ng,,,,tip-offs@deloitte.com.ng,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
changers.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
chatfuel.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
chronus-health-inc.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
climatechangejobs.com,https://climatechangejobs.com/,hr@appvoices.org,,,hr@appvoices.org,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
coalition-for-reimagined-mobility.breezy.hr,https://breezy.hr/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
cofda.org,https://cofda.org/,info@cofda.org,info@cofda.org,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
collegiateelites.com,https://www.collegiateelites.com/,info@collegiateelites.com,info@collegiateelites.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
columbusdreamcenter.org,https://www.columbusdreamcenter.org/,info@columbusdreamcenter.org,info@columbusdreamcenter.org,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
combient.com,https://combient.com/,hello@collegial.com ; hello@combient.com,hello@combient.com,,hello@collegial.com,,,Breezy HR,Breezy HR,hirevue,2,valid_mx_email_found,
data-sentinel.com,https://www.data-sentinel.com/,info@data-sentinel.com,info@data-sentinel.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
digikaimarketing.com,https://digikaimarketing.com/,info@digikaimarketing.com,info@digikaimarketing.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
dreamhomebasedwork.com,https://dreamhomebasedwork.com/,hello@dreamhomebasedwork.com,hello@dreamhomebasedwork.com,,,,,Breezy HR ; Jobvite,Breezy HR,hirevue,1,valid_mx_email_found,
dumbartonartsed.org,https://www.dumbartonartsed.org/,office@dumbartonartsed.org ; office@dumbartonconcerts.org,office@dumbartonartsed.org,,,office@dumbartonconcerts.org,,Breezy HR,Breezy HR,hirevue,2,valid_mx_email_found,
entrylevelremotejob.com,https://entrylevelremotejob.com/,hello@sagunshrestha.com,,,,hello@sagunshrestha.com,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
fameafrica.org,https://fameafrica.org/,info@fameafrica.org,info@fameafrica.org,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
flowremote.io,https://www.flowremote.io/,info@flowremote.io,info@flowremote.io,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
fohr.co,https://www.fohr.co/,hello@you.com,,,,hello@you.com,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
forcisformations.com,https://www.forcisformations.com/,contact@forcisformations.com,contact@forcisformations.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
frostforcongress.com,https://www.frostforcongress.com/,info@frostforcongress.com ; press@frostforcongress.com,info@frostforcongress.com ; press@frostforcongress.com,,,,,Breezy HR,Breezy HR,hirevue,2,valid_mx_email_found,
gippslander.com.au,https://gippslander.com.au/,hello@gippslander.com.au,hello@gippslander.com.au,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
globalaccesspipeline.org,https://globalaccesspipeline.org/,info@globalaccesspipeline.org,info@globalaccesspipeline.org,,,,,Breezy HR ; Jobvite,Breezy HR,hirevue,1,valid_mx_email_found,
greenboxstorage.org,https://www.greenboxstorage.org/,support@greenboxstorage.org,support@greenboxstorage.org,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
hagertydigital.co.uk,https://hagertydigital.co.uk/,hello@hagertydigital.co.uk,hello@hagertydigital.co.uk,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
hatfieldrallyhouse.com,https://www.hatfieldrallyhouse.com/,info@hatfieldrallyhouse.com,info@hatfieldrallyhouse.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
ino.ca,https://www.ino.ca/en/,info@ino.ca ; info@luqia.ca ; media@luqia.ca,info@ino.ca,,info@luqia.ca ; media@luqia.ca,,,Breezy HR,Breezy HR,hirevue,3,valid_mx_email_found,
ioufinancial.com,https://ioufinancial.com/,info@ioufinancial.com,info@ioufinancial.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
jobs.mkt1.co,https://jobs.mkt1.co/,hello@mkt1.co,,,hello@mkt1.co,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
jobs.reed.edu,https://jobs.reed.edu/,hr@reed.edu,,,,hr@reed.edu,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
kineticstrategies.us,https://kineticstrategies.us/,hello@kineticstrategies.us,hello@kineticstrategies.us,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
lacallegroup.com,https://www.lacallegroup.com/,hello@lacallegroup.com,hello@lacallegroup.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
linkbuildingjobs.com,https://linkbuildingjobs.com/,hello@linkbuildingjobs.com,hello@linkbuildingjobs.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
magnifiedvacationsblog.com,https://magnifiedvacationsblog.com/,info@magnifiedvacationsblog.com,info@magnifiedvacationsblog.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
majortom.com,https://www.majortom.com/,hello@majortom.com ; hr@majortom.com,hello@majortom.com ; hr@majortom.com,,,,,Breezy HR,Breezy HR,hirevue,2,valid_mx_email_found,
marcykaptur.com,https://marcykaptur.com/,info@marcykaptur.com ; press@marcykaptur.com,info@marcykaptur.com ; press@marcykaptur.com,,,,,Breezy HR,Breezy HR,hirevue,2,valid_mx_email_found,
mccollumforcongress.com,https://www.mccollumforcongress.com/,info@mccollumforcongress.com,info@mccollumforcongress.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
mobsociety.us,https://www.mobsociety.us/,help@mobsociety.us,help@mobsociety.us,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
montecha.com,https://montecha.com/,office@montecha.com,office@montecha.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
n2nma.org,https://n2nma.org/,info@n2nma.org,info@n2nma.org,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
nc-100.org,https://nc-100.org/,info@nc-100.org,info@nc-100.org,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
nextposition.se,https://nextposition.se/,info@nextposition.se,info@nextposition.se,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
ninefeettall.com,https://www.ninefeettall.com/,info@ninefeettall.com,info@ninefeettall.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
northpointdefense.com,https://northpointdefense.com/,customerservice@northpointdefense.com,customerservice@northpointdefense.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
ofserv.com,https://ofserv.com/,info@ofserv.com,info@ofserv.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
oohtalent.com,https://oohtalent.com/,contact@sansoxygen.com,,,,contact@sansoxygen.com,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
palshomehealth.com,https://palshomehealth.com/,info@palshomehealth.com,info@palshomehealth.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
pequity.com,https://pequity.com/,media@getpequity.com ; support@getpequity.com,,,media@getpequity.com ; support@getpequity.com,,,Breezy HR,Breezy HR,hirevue,2,valid_mx_email_found,
plan-eval.com,https://plan-eval.com/,info@plan-eval.com,info@plan-eval.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
qwqer.eu,https://qwqer.eu/de/de,sales@qwqer.eu,sales@qwqer.eu,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
qwqer.lv,https://qwqer.eu/de/de,sales@qwqer.eu,,,sales@qwqer.eu,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
raidbase.com,https://www.raidbase.com/,info@raidbase.com,info@raidbase.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
rayhamilton.com,https://rayhamilton.com/,sales@rayhamilton.com,sales@rayhamilton.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
rentnorthview.com,https://www.rentnorthview.com:443/,info@nvreit.ca,,,info@nvreit.ca,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
rewardio.com,https://rewardio.com/,info@rewardio.com,info@rewardio.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
rusinconcrete.com,https://rusinconcrete.com/,info@rusinltd.com,,,info@rusinltd.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
scimitar.com,https://scimitar.com/,info@scimitar.com,info@scimitar.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
seroda.com,https://www.seroda.com/,info@seroda.com ; info@seroda.pe,info@seroda.com,,,info@seroda.pe,,Breezy HR,Breezy HR,hirevue,2,valid_mx_email_found,
sogalventures.com,https://www.sogalventures.com/,hello@sogalventures.com,hello@sogalventures.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
staffmill.fi,https://www.staffmill.fi/,info@staffmill.fi,info@staffmill.fi,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
summitavl.com,https://summitintegrated.com/,hello@summitintegrated.com,,,hello@summitintegrated.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
teamfocus.in,https://teamfocus.in/,support@breezyhr.com,,,support@breezyhr.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
turbulent.ca,https://turbulent.ca/,info@turbulent.ca,info@turbulent.ca,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
vectortrading.com,https://vectortrading.com/,hr@vectrading.com,,,hr@vectrading.com,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
vectrading.com,https://vectrading.com/,hr@vectrading.com,hr@vectrading.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
veritystudios.com,https://www.veritystudios.com/,info@veritystudios.com,info@veritystudios.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
vineacademy.com,https://www.vineacademy.com/,info@vineacademy.com ; info@vineacademyhinsdale.com,info@vineacademy.com,,info@vineacademyhinsdale.com,,,Breezy HR,Breezy HR,hirevue,2,valid_mx_email_found,
wordsparkconsulting.com,https://www.wordsparkconsulting.com/,hello@wordsparkconsulting.com,hello@wordsparkconsulting.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
youthfully.com,https://www.youthfully.com/,help@youthfully.com,help@youthfully.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
zetier.com,https://zetier.com/,hello@zetier.com,hello@zetier.com,,,,,Breezy HR,Breezy HR,hirevue,1,valid_mx_email_found,
