domain,homepage_url,all_emails,site_domain_emails,parent_company_emails,shared_external_emails,external_company_emails,third_party_provider_emails,competitors,detected_competitor,categories,email_count,email_status,notes
aarete.com,https://www.aarete.com/,info@aarete.com,info@aarete.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
aculocity.com,https://www.aculocity.com/,info@aculocity.com,info@aculocity.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
all5s.com,https://all5s.com/,info@all5s.com,info@all5s.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
alliant.com,https://alliant.com/,hr@alliant.com,hr@alliant.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
bonitavethospital.com,https://bonitavethospital.com/,hello@bonitavethospital.com,hello@bonitavethospital.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
calnet.com,https://calnet.com/,info@calnet.com ; press@calnet.com ; sales@calnet.com,info@calnet.com ; press@calnet.com ; sales@calnet.com,,,,,Jobvite,Jobvite,hirevue,3,valid_mx_email_found,
canadianminingexpo.com,https://virtex.canadianminingexpo.com/,info@canadiantradex.com,,,info@canadiantradex.com,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
climatecalling.org,https://www.climatecalling.org/,info@climatecardinals.org,,,,info@climatecardinals.org,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
closetsbydesign.com,https://www.closetsbydesign.com/,customerservice@closetsbydesign.com ; info@closetsbydesign.com,customerservice@closetsbydesign.com ; info@closetsbydesign.com,,,,,Jobvite,Jobvite,hirevue,2,valid_mx_email_found,
cmbsllc.net,https://cmbsllc.net/,info@cmbsllc.net,info@cmbsllc.net,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
dominionenterprises.com,https://www.dominionenterprises.com/,webmaster@dominionenterprises.com,webmaster@dominionenterprises.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
dreamhomebasedwork.com,https://dreamhomebasedwork.com/,hello@dreamhomebasedwork.com,hello@dreamhomebasedwork.com,,,,,Breezy HR ; Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
e-arc.com,https://www.e-arc.com/,info@e-arc.com,info@e-arc.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
expresspartssales.com,https://expresspartssales.com/,sales@roadparts.com,,,sales@roadparts.com,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
extenet.com,https://extenet.com/,hello@extenet.com,hello@extenet.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
florencecopper.com,https://florencecopper.com/,info@florencecopper.com,info@florencecopper.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
getamba.com,https://getamba.com/index.php,info@getamba.com,info@getamba.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
globalaccesspipeline.org,https://globalaccesspipeline.org/,info@globalaccesspipeline.org,info@globalaccesspipeline.org,,,,,Breezy HR ; Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
globaledgeinvestments.com,https://globaledgeinvestments.com/,info@globaledgeinvestments.com,info@globaledgeinvestments.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
grifcopr.com,https://grifcopr.com/,info@grifcopr.com,info@grifcopr.com,,,,,Jobvite,Jobvite,hirevue,1,valid_mx_email_found,
