domain,homepage_url,all_emails,site_domain_emails,parent_company_emails,shared_external_emails,external_company_emails,third_party_provider_emails,competitors,detected_competitor,categories,email_count,email_status,notes
afterhoursbooked.com,https://afterhoursbooked.com/,hello@afterhoursbooked.com,hello@afterhoursbooked.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
brush-house.com,https://www.brush-house.com/,hello@brush-house.com,hello@brush-house.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
client-connected.com,https://www.client-connected.com/,sales@client-connected.com ; support@client-connected.com,sales@client-connected.com ; support@client-connected.com,,,,,Retell AI,Retell AI,voice,2,valid_mx_email_found,
fimsassurance.com,https://fimsassurance.com/,info@fimsassurance.com,info@fimsassurance.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
getconsentresolve.com,https://getconsentresolve.com/,hello@consentresolve.com,,,,hello@consentresolve.com,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
intellovant.com,https://intellovant.com/,hello@intellovant.com,hello@intellovant.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
matzkinlaw.llc,https://matzkinlaw.llc/,info@matzkinlaw.llc,info@matzkinlaw.llc,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
memphiswebsolutions.com,https://www.memphiswebsolutions.com/,contact@memphiswebsolutions.com,contact@memphiswebsolutions.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
naturesearthproducts.com,https://www.naturesearthproducts.com/,sales@naturesearthproducts.com,sales@naturesearthproducts.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
officialtranslations.com,https://officialtranslations.com/,contact@officialtranslations.com,contact@officialtranslations.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
pacificgatewayimmigration.com,https://pacificgatewayimmigration.com/,contact@pacificgatewayimmigration.com,contact@pacificgatewayimmigration.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
skyrocket.ph,https://skyrocket.ph/,info@skyrocket.ph,info@skyrocket.ph,,,,,ElevenLabs element ; Retell AI,Retell AI,target ; voice,1,valid_mx_email_found,
summitsoftwashusa.com,https://summitsoftwashusa.com/,team@summitsoftwashusa.com,team@summitsoftwashusa.com,,,,,Retell AI,Retell AI,voice,1,valid_mx_email_found,
