domain,homepage_url,all_emails,site_domain_emails,parent_company_emails,shared_external_emails,external_company_emails,third_party_provider_emails,competitors,detected_competitor,categories,email_count,email_status,notes
10xcredit.org,https://10xcredit.org/,info@10xcredit.org,info@10xcredit.org,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
247digital.co.za,https://www.247digital.co.za/,info@247digital.co.za,info@247digital.co.za,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
afoitserkezidis.com,https://afoitserkezidis.com/,info@afoitserkezidis.com ; info@tserkezidisrecycle.com,info@afoitserkezidis.com,,,info@tserkezidisrecycle.com,,Vapi,Vapi,voice,2,valid_mx_email_found,
aiacademyforbeginners.com,https://aiacademyforbeginners.com/,hello@aiacademyforbeginners.com,hello@aiacademyforbeginners.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
alwajeeztech.com,https://alwajeeztech.com/,info@alwajeeztech.com ; sales@alwajeeztech.com ; support@alwajeeztech.com,info@alwajeeztech.com ; sales@alwajeeztech.com ; support@alwajeeztech.com,,,,,Vapi,Vapi,voice,3,valid_mx_email_found,
americantrolley.com,https://americantrolley.com/,service@chicagostrolley.com,,,service@chicagostrolley.com,,,Vapi,Vapi,voice,1,valid_mx_email_found,
amigosanta.com,https://amigosanta.com/,support@amigosanta.com,support@amigosanta.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
amnetmtg.com,https://www.amnetmtg.com/,info@amnetmtg.com,info@amnetmtg.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
anemone.it,https://www.anemone.it/,info@anemone.it,info@anemone.it,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
arkglobalpartners.com,https://arkglobalpartners.com/,info@arkglobalpartners.com,info@arkglobalpartners.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
aulteuslogic.com,https://aulteuslogic.com/,hello@aulteuslogic.com,hello@aulteuslogic.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
autom8ionlab.com,https://autom8ionlab.com/,info@autom8ionlab.com,info@autom8ionlab.com,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
bestmove1.net,https://www.bestmove1.net/,sales@collegianmovers.com,,,,sales@collegianmovers.com,,Vapi,Vapi,voice,1,valid_mx_email_found,
blackwealthsummit.co.uk,https://www.blackwealthsummit.co.uk/,hello@blackwealthsummit.co.uk,hello@blackwealthsummit.co.uk,,,,,Vapi,Vapi,voice,1,valid_mx_email_found,
