domain,homepage_url,all_emails,site_domain_emails,parent_company_emails,shared_external_emails,external_company_emails,third_party_provider_emails,competitors,detected_competitor,categories,email_count,email_status,notes
application.school16.co,https://application.school16.co/,hello@tally.so,,,,hello@tally.so,,Willo,Willo,hirevue,1,valid_mx_email_found,
concoursedancebar.com,https://www.concoursedancebar.com/,info@concoursedancebar.com,info@concoursedancebar.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
consciousfashion.co,https://consciousfashion.co/,hello@consciousfashion.co,hello@consciousfashion.co,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
crafthallphilly.com,https://www.crafthallphilly.com/,info@crafthallphilly.com,info@crafthallphilly.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
intellatutor.app,https://intellatutor.app/,info@intellatutor.com,,,,info@intellatutor.com,,Willo,Willo,hirevue,1,valid_mx_email_found,
joinconvertros.com,https://www.joinconvertros.com/,info@convertros.com,,,,info@convertros.com,,Willo,Willo,hirevue,1,valid_mx_email_found,
junophilly.com,https://www.junophilly.com/,info@junophilly.com,info@junophilly.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
liberty215.com,https://www.liberty215.com/,info@liberty215.com,info@liberty215.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
libertypointphilly.com,https://www.libertypointphilly.com/,info@libertypointphilly.com,info@libertypointphilly.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
lucysphiladelphia.com,https://www.lucysphiladelphia.com/,info@lucysphiladelphia.com,info@lucysphiladelphia.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
medassistusa.com,https://medassistusa.com/,info@indiantypefoundry.com,,,info@indiantypefoundry.com,,,Willo,Willo,hirevue,1,valid_mx_email_found,
morganspier.com,https://www.morganspier.com/,info@morganspier.com,info@morganspier.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
mylanguagelink.com,https://mylanguagelink.com/,info@mylanguagelink.com,info@mylanguagelink.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
parksontap.com,https://www.parksontap.com/,info@parksontap.com,info@parksontap.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
rosyseasttacobar.com,https://www.rosyseasttacobar.com/,info@rosyseast.com,,,info@rosyseast.com,,,Willo,Willo,hirevue,1,valid_mx_email_found,
rosystacobar.com,https://www.rosystacobar.com/,info@rosyseast.com ; info@rosystacobar.com,info@rosystacobar.com,,info@rosyseast.com,,,Willo,Willo,hirevue,2,valid_mx_email_found,
tulerie.com,https://www.tulerie.com/,support@tulerie.com,support@tulerie.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
walnutphl.com,https://www.walnutphl.com/,info@walnutphl.com,info@walnutphl.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
ziplyne.com,https://www.ziplyne.com/,support@ziplyne.com,support@ziplyne.com,,,,,Willo,Willo,hirevue,1,valid_mx_email_found,
