category,competitor,query,confidence,domain,publicwww_rank,snippet
target,HireVue,"depth:all ""app.hirevue.com""",medium,amazoncarhire.com,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,amazoncarhire.com,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,amazoncarhire.com,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,amazoncarhire.com,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,amazoncarhire.com,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,hirevue.pro,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,hirevue.pro,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,hirevue.pro,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,hirevue.pro,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,hirevue.pro,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,HireVue,"depth:all ""app.hirevue.com""",medium,hirevue.pro,>30M,"\""> <a href=\""https://app.hirevue.com/accounts/login/?_ga"
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,wha.tools,1783339,"://api.green-api.com/waInstance{idInstance}/sendMes...Instance{idInstance}/sendMessage/{apiTokenInstance}\\\"""
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,apexclean.ru,>30M,{ var url=G.apiUrl+\'/waInstance\'+G.idInstance+\'/sen...ance\'+G.idInstance+\'/sendMessage/\'+G.apiToken; return
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,glavbuh24.com,>30M,"://api.green-api.com/waInstance${WA_INSTANCE}/sendM...stance${WA_INSTANCE}/sendMessage/${WA_TOKEN}`,{method"
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,glavbuh24.com,>30M,"://api.green-api.com/waInstance${WA_INSTANCE}/sendM...stance${WA_INSTANCE}/sendMessage/${WA_TOKEN}`,{method"
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,glavbuh24.com,>30M,"://api.green-api.com/waInstance${WA_INSTANCE}/sendM...stance${WA_INSTANCE}/sendMessage/${WA_TOKEN}`,{method"
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,houseofteeth.in,>30M,://api.green-api.com/waInstance${GREEN_API_INSTANCE...EEN_API_INSTANCE_ID}/sendMessage/${GREEN_API_TOKEN}`;
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,xn--12-6kces4afc0atv2k.xn--p1ai,>30M,FIG.greenApi.apiUrl}/waInstance${API_CONFIG.greenAp...greenApi.idInstance}/sendMessage/${API_CONFIG.greenAp
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,xn--12-6kces4afc0atv2k.xn--p1ai,>30M,FIG.greenApi.apiUrl}/waInstance${API_CONFIG.greenAp...greenApi.idInstance}/sendMessage/${API_CONFIG.greenAp
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,xn--12-6kces4afc0atv2k.xn--p1ai,>30M,FIG.greenApi.apiUrl}/waInstance${API_CONFIG.greenAp...greenApi.idInstance}/sendMessage/${API_CONFIG.greenAp
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,xn--12-6kces4afc0atv2k.xn--p1ai,>30M,FIG.greenApi.apiUrl}/waInstance${API_CONFIG.greenAp...greenApi.idInstance}/sendMessage/${API_CONFIG.greenAp
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,xn--12-6kces4afc0atv2k.xn--p1ai,>30M,FIG.greenApi.apiUrl}/waInstance${API_CONFIG.greenAp...greenApi.idInstance}/sendMessage/${API_CONFIG.greenAp
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,xn--12-6kces4afc0atv2k.xn--p1ai,>30M,FIG.greenApi.apiUrl}/waInstance${API_CONFIG.greenAp...greenApi.idInstance}/sendMessage/${API_CONFIG.greenAp
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,xn--12-6kces4afc0atv2k.xn--p1ai,>30M,FIG.greenApi.apiUrl}/waInstance${API_CONFIG.greenAp...greenApi.idInstance}/sendMessage/${API_CONFIG.greenAp
target,Green API,"depth:all ""/waInstance"" ""/sendMessage/""",low,ln3fqbtgjx.apidog.io,>30M,":decoration-dashed\"">/waInstance</span><span class=\""...stance{{idInstance}}/sendMessage/{{apiTokenInstance}}"
