domain,competitors,categories,queries,confidences,publicwww_ranks,fingerprint_snippets
10xcredit.org,Vapi,voice,"depth:all ""unpkg.com/@vapi-ai/client-sdk-react/dist/embed/widget.umd.js""",high,>30M,"script src=\""https://unpkg.com/@vapi-ai/client-sdk-react/dist/embed/widget.umd.js\"" async type=\""text/j"
11gmedia.com,Vapi,voice,"depth:all ""unpkg.com/@vapi-ai/client-sdk-react/dist/embed/widget.umd.js""",high,>30M,"script src=\""https://unpkg.com/@vapi-ai/client-sdk-react/dist/embed/widget.umd.js\"" async type=\""text/j"
11onze.breezy.hr,Breezy HR,hirevue,"depth:all ""breezy.hr/p/""",medium,>30M,ion: https://11onze.breezy.hr/ Vary: Accept St...tps://11onze.breezy.hr/ Vary: Accept Stric...HTTP/1.1 302 Found Date:
1driver.co.uk,Ahrefs,target,"depth:0 ""ahrefs-site-verification""",high,241592,"MmTU\"" /> <meta name=\""ahrefs-site-verification\"" content=\""cc3cc948f8...mTU\"" /> <meta name=\""ahrefs-site-verification\"" content=\""cc3cc948f"
1stclasstuition.com,Vapi,voice,"depth:all ""unpkg.com/@vapi-ai/client-sdk-react/dist/embed/widget.umd.js""",high,>30M,"script src=\""https://unpkg.com/@vapi-ai/client-sdk-react/dist/embed/widget.umd.js\"" async type=\""text/j"
1stgenyale.breezy.hr,Breezy HR,hirevue,"depth:all ""breezy.hr/p/""",medium,>30M,https://1stgenyale.breezy.hr/ Vary: Accept St...//1stgenyale.breezy.hr/ Vary: Accept Stric...HTTP/1.1 302 Found Date:
2000jours.org,Breezy HR,hirevue,"depth:all ""breezy.hr/p/""",medium,>30M,ondation-2000-jours.breezy.hr/p/828769fb44c601-respo
20four7va.breezy.hr,Breezy HR,hirevue,"depth:all ""breezy.hr/p/""",medium,>30M,"=\""https://20four7va.breezy.hr/p/2d9010ee4bf6-co-cpt- || =\""https://20four7va.breezy.hr/p/79926bb7be9f-b-cpt-9 || =\""https://20four7va.breezy.hr/p/9e90709997e0-b-cpt-9 || =\""https://20four7va.breezy.hr/p/d91fc671cc00-cpt-781 || =\""https://20four7va.breezy.hr/p/f5a33fc63ce5-b-cpt-9"
24-hour-medical-staffing-services.breezy.hr,Breezy HR,hirevue,"depth:all ""breezy.hr/p/""",medium,>30M,l-staffing-services.breezy.hr/ Vary: Accept St...ing-services.breezy.hr/ Vary: Accept Stric...HTTP/1.1 302 Found Date:
247digital.co.za,Vapi,voice,"depth:all ""unpkg.com/@vapi-ai/client-sdk-react/dist/embed/widget.umd.js""",high,>30M,"script src=\""https://unpkg.com/@vapi-ai/client-sdk-react/dist/embed/widget.umd.js\"" async type=\""text/j"
