domain,excluded_advance_local,present_in_fingerprint_results,competitors,categories,publicwww_ranks,notes
advance-ohio.com,yes,no,,,,Advance Local excluded before email verification
advance.com,yes,no,,,,Advance Local excluded before email verification
advance.net,yes,no,,,,Advance Local excluded before email verification
advancelocal.com,yes,no,,,,Advance Local excluded before email verification
advancemediany.com,yes,no,,,,Advance Local excluded before email verification
al.com,yes,no,,,,Advance Local excluded before email verification
alabamamediagroup.com,yes,no,,,,Advance Local excluded before email verification
cleveland.com,yes,no,,,,Advance Local excluded before email verification
lehighvalleylive.com,yes,no,,,,Advance Local excluded before email verification
masslive.com,yes,no,,,,Advance Local excluded before email verification
masslivemedia.com,yes,no,,,,Advance Local excluded before email verification
mlive.com,yes,no,,,,Advance Local excluded before email verification
mlivemediagroup.com,yes,no,,,,Advance Local excluded before email verification
newyorkupstate.com,yes,no,,,,Advance Local excluded before email verification
nj.com,yes,no,,,,Advance Local excluded before email verification
njadvancemedia.com,yes,no,,,,Advance Local excluded before email verification
oregonianmediagroup.com,yes,no,,,,Advance Local excluded before email verification
oregonlive.com,yes,no,,,,Advance Local excluded before email verification
pennlive.com,yes,no,,,,Advance Local excluded before email verification
siadvance.com,yes,no,,,,Advance Local excluded before email verification
silive.com,yes,no,,,,Advance Local excluded before email verification
statenislandmediagroup.com,yes,no,,,,Advance Local excluded before email verification
syracuse.com,yes,no,,,,Advance Local excluded before email verification
thepamediagroup.com,yes,no,,,,Advance Local excluded before email verification
