domain,email,email_domain,domain_relationship,email_classification,validation_status,validation_note,email_domain_occurrences,context,source,evidence_url,competitors,categories,publicwww_ranks
10xcredit.org,info@10xcredit.org,10xcredit.org,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://10xcredit.org/,Vapi,voice,>30M
11gmedia.com,rcik@b0ju.m,b0ju.m,external_company_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://11gmedia.com/,Vapi,voice,>30M
11gmedia.com,rick@11gmedia.com,11gmedia.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://11gmedia.com/,Vapi,voice,>30M
1driver.co.uk,info@1driver.co.uk,1driver.co.uk,site_domain,role_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.1driver.co.uk/,Ahrefs,target,241592
1stgenyale.breezy.hr,fellowships@yale.edu,yale.edu,shared_external_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://1stgenyale.breezy.hr/,Breezy HR,hirevue,>30M
1stgenyale.breezy.hr,sb24@1stgenyale.org,1stgenyale.org,external_company_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://1stgenyale.breezy.hr/,Breezy HR,hirevue,>30M
1stgenyale.breezy.hr,sea@yale.edu,yale.edu,shared_external_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://1stgenyale.breezy.hr/,Breezy HR,hirevue,>30M
2000jours.org,fondation@2000jours.org,2000jours.org,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.2000jours.org/,Breezy HR,hirevue,>30M
2000jours.org,utilisateur@domaine.com,domaine.com,external_company_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.2000jours.org/,Breezy HR,hirevue,>30M
20four7va.breezy.hr,you@mycompany.com,mycompany.com,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,21,contact,direct_page,https://20four7va.breezy.hr/team/signin,Breezy HR,hirevue,>30M
247digital.co.za,info@247digital.co.za,247digital.co.za,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.247digital.co.za/,Vapi,voice,>30M
24sevenoffice.com,office.support@finago.no,finago.no,shared_external_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://finago.no/,Ahrefs,target,400519
24sevenoffice.com,salg@finago.no,finago.no,shared_external_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://finago.no/,Ahrefs,target,400519
35milimetre.com,info@35milimetre.com,35milimetre.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.35milimetre.com/,ElevenLabs Agents ; ElevenLabs element,target,9895064
35milimetre.com,mehmet@35milimetre.com,35milimetre.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.35milimetre.com/,ElevenLabs Agents ; ElevenLabs element,target,9895064
3rp.de,info@3rp.de,3rp.de,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://3rp.de/,ElevenLabs Agents ; ElevenLabs element,target,6923217
3snet.info,air-datepicker@3.6.0,3.6.0,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,3,general,direct_page,https://3s.info/,Ahrefs,target,501916
3snet.info,es-module-shims@1.10.0,1.10.0,shared_external_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://3s.info/,Ahrefs,target,501916
3snet.info,info@3s.info,3s.info,external_company_domain,role_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://3s.info/,Ahrefs,target,501916
3snet.info,info@3snet.info,3snet.info,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://3s.info/,Ahrefs,target,501916
3snet.info,party-js@2.2.0,2.2.0,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://3s.info/,Ahrefs,target,501916
4media.breezy.hr,support@breezyhr.com,breezyhr.com,shared_external_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,17,general,direct_page,https://breezy.hr/,Breezy HR,hirevue,>30M
4seohelp.com,info@4seohelp.com,4seohelp.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.4seohelp.com/,Ahrefs,target,577702
8x10designs.com,8x10designs@gmail.com,gmail.com,third_party_provider,provider_contact,valid_mx,MX/A DNS check only; no mailbox message sent,176,general,direct_page,https://8x10designs.com/,ElevenLabs Agents,target,18317116
8x10designs.com,hello@8x10designs.com,8x10designs.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://8x10designs.com/,ElevenLabs Agents,target,18317116
999investments.com,lilyle.realtor@gmail.com,gmail.com,third_party_provider,provider_contact,valid_mx,MX/A DNS check only; no mailbox message sent,176,contact,direct_page,https://999investments.com/contact.htm,ElevenLabs Agents ; ElevenLabs element,target,11853495
999investments.com,paul@999investmentsinc.com,999investmentsinc.com,external_company_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,contact,direct_page,https://999investments.com/contact.htm,ElevenLabs Agents ; ElevenLabs element,target,11853495
aarete.com,info@aarete.com,aarete.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.aarete.com/,Jobvite,hirevue,2898584
aarete.com,privacy@aarete.com,aarete.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,legal,direct_page,https://www.aarete.com/privacy-policy/,Jobvite,hirevue,2898584
aasias.com,dcom5@aasias.com,aasias.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.aasias.com/,ElevenLabs Agents ; ElevenLabs element,target,1986434
abbaagency.com,ello@abbaagency.com,abbaagency.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://www.abbaagency.com/contact,Vapi,voice,>30M
abbaagency.com,privacy@abbaagency.com,abbaagency.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,legal,direct_page,https://www.abbaagency.com/privacy,Vapi,voice,>30M
abesofmaine.com,bootstrap-icons@1.10.2,1.10.2,external_company_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.abesofmaine.com/,Ahrefs,target,160605
absoluteintelligenceuk.com,bootstrap-icons@1.11.3,1.11.3,shared_external_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,6,general,direct_page,https://absoluteintelligenceuk.com/,Vapi,voice,>30M
absoluteintelligenceuk.com,bootstrap@5.3.3,5.3.3,shared_external_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,7,general,direct_page,https://absoluteintelligenceuk.com/,Vapi,voice,>30M
absoluteintelligenceuk.com,enquiries@absoluteintelligenceuk.com,absoluteintelligenceuk.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,3,legal,direct_page,https://absoluteintelligenceuk.com/privacy-policy/,Vapi,voice,>30M
absoluteintelligenceuk.com,neil@absoluteintelligenceuk.com,absoluteintelligenceuk.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,3,general,direct_page,https://absoluteintelligenceuk.com/,Vapi,voice,>30M
absoluteintelligenceuk.com,privacy@absoluteintelligenceuk.com,absoluteintelligenceuk.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,3,legal,direct_page,https://absoluteintelligenceuk.com/privacy-policy/,Vapi,voice,>30M
abstract3d.com,privacy@abstract3d.com,abstract3d.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,legal,direct_page,https://abstract3d.com/privacypolicy/,Breezy HR,hirevue,>30M
abstract3d.com,three@0.128.0,0.128.0,external_company_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://abstract3d.com/,Breezy HR,hirevue,>30M
abstract3d.com,trust@abstract3d.com,abstract3d.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,legal,direct_page,https://abstract3d.com/privacypolicy/,Breezy HR,hirevue,>30M
academyit.net,info@academyit.net,academyit.net,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://academyit.net/,Ahrefs,target,248410
academyit.net,miladmiladi1988@gmail.com,gmail.com,third_party_provider,provider_contact,valid_mx,MX/A DNS check only; no mailbox message sent,176,contact,direct_page,https://academyit.net/products/wordpress,Ahrefs,target,248410
acapital.com,admin@acapital.com,acapital.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://acapital.com/,CodeSignal,hirevue,4926216
acapital.com,bootstrap@5.2.3,5.2.3,shared_external_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,5,general,direct_page,https://acapital.com/,CodeSignal,hirevue,4926216
acapital.com,zach@acapital.com,acapital.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://acapital.com/,CodeSignal,hirevue,4926216
accademiadomani.it,privacy@accademiadomani.it,accademiadomani.it,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,1,legal,direct_page,https://accademiadomani.it/privacy-policy,Ahrefs,target,366387
accesstrade.co.id,bootstrap-icons@1.11.3,1.11.3,shared_external_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,6,general,direct_page,https://accesstrade.co.id/,Ahrefs,target,127205
accesstrade.co.id,info@accesstrade.co.id,accesstrade.co.id,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,contact,direct_page,https://accesstrade.co.id/contact-us,Ahrefs,target,127205
accuweather.com,copyright@accuweather.com,accuweather.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,5,legal,direct_page,https://www.accuweather.com/en/legal,Similarweb,seo,364
accuweather.com,customerservice@accuweather.com,accuweather.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,5,legal,direct_page,https://www.accuweather.com/en/privacy,Similarweb,seo,364
accuweather.com,human.resources@accuweather.com,accuweather.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,5,contact,direct_page,https://corporate.accuweather.com/company/careers/,Similarweb,seo,364
accuweather.com,pr@accuweather.com,accuweather.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,5,contact,direct_page,https://corporate.accuweather.com/newsroom/press-releases/,Similarweb,seo,364
accuweather.com,support@accuweather.com,accuweather.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,5,legal,direct_page,https://www.accuweather.com/en/legal,Similarweb,seo,364
acrow-limited.breezy.hr,you@mycompany.com,mycompany.com,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,21,contact,direct_page,https://acrow-limited.breezy.hr/team/signin,Breezy HR,hirevue,>30M
aculocity.com,info@aculocity.com,aculocity.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.aculocity.com/,Jobvite,hirevue,5398356
acumbamail.com,soporte@acumbamail.com,acumbamail.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://acumbamail.com/,Ahrefs,target,72039
acutehat.com,hello@acutehat.com,acutehat.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://acutehat.com/,CodeSignal,hirevue,>30M
acutehat.com,your@email.com,email.com,shared_external_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,35,general,direct_page,https://acutehat.com/,CodeSignal,hirevue,>30M
adagio.com,info@adagio.com,adagio.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.adagio.com/,Ahrefs,target,113021
adagio.com,jobs@adagio.com,adagio.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.adagio.com/pages/jobs.html,Ahrefs,target,113021
adayonthegreen.com.au,hello@adayonthegreen.com.au,adayonthegreen.com.au,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,1,legal,direct_page,https://www.adayonthegreen.com.au/termsofuse,Ahrefs,target,587857
adayonthegreen.com.au,info@roundhouse.com.au,roundhouse.com.au,external_company_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,contact,direct_page,https://www.adayonthegreen.com.au/help/contact,Ahrefs,target,587857
adikam.com,adikam@adikam.com,adikam.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://adikam.com/,ElevenLabs element,target,9827678
adityalahiri.github.io,adityalahiri13@gmail.com,gmail.com,third_party_provider,provider_contact,valid_mx,MX/A DNS check only; no mailbox message sent,176,general,direct_page,https://adityalahiri.github.io/,CodeSignal,hirevue,>30M
adoc-tm.breezy.hr,you@mycompany.com,mycompany.com,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,21,contact,direct_page,https://adoc-tm.breezy.hr/team/signin,Breezy HR,hirevue,>30M
adsrecruit.com,clientrelations@adsrecruit.com,adsrecruit.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://adsrecruit.com/,Breezy HR,hirevue,13767330
adstudio.eu,ad@adstudio.eu,adstudio.eu,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,1,legal,direct_page,https://adstudio.eu/privacy-policy-en/,ElevenLabs Agents ; ElevenLabs element,target,7861051
advance-financial.breezy.hr,you@mycompany.com,mycompany.com,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,21,contact,direct_page,https://advance-financial.breezy.hr/team/signin,Breezy HR,hirevue,>30M
advancedmedicalcertification.com,administration@advmedcert.com,advmedcert.com,shared_external_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,legal,direct_page,https://advancedmedicalcertification.com/privacy-policy,Ahrefs,target,496870
advancedmedicalcertification.com,customerservice@advmedcert.com,advmedcert.com,shared_external_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://advancedmedicalcertification.com/,Ahrefs,target,496870
advancing-beyond-the-spectrum.breezy.hr,hr@abstherapy.org,abstherapy.org,external_company_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://advancing-beyond-the-spectrum.breezy.hr/,Breezy HR,hirevue,>30M
advocado.de,autocomplete.js@10.2.1,10.2.1,external_company_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.advocado.de/,Ahrefs,target,178742
advocado.de,info@advocado.com,advocado.com,shared_external_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://www.advocado.de/impressum.html,Ahrefs,target,178742
advocado.de,lottie-interactivity@1.6.2,1.6.2,external_company_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.advocado.de/,Ahrefs,target,178742
advocado.de,lottie-player@2.0.2,2.0.2,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.advocado.de/,Ahrefs,target,178742
advocado.de,mail@verbraucher-schlichter.de,verbraucher-schlichter.de,external_company_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,contact,direct_page,https://www.advocado.de/impressum.html,Ahrefs,target,178742
advocado.de,service@advocado.com,advocado.com,shared_external_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.advocado.de/,Ahrefs,target,178742
aerohealthcare.com,privacy@aerohealthcare.com,aerohealthcare.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,legal,direct_page,https://aerohealthcare.com/privacy-policy/,Ahrefs,target,834221
aerohealthcare.com,sales@aerohealthcare.co.uk,aerohealthcare.co.uk,external_company_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,contact,direct_page,https://aerohealthcare.com/contact/,Ahrefs,target,834221
aerohealthcare.com,sales@aerohealthcare.com,aerohealthcare.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://aerohealthcare.com/contact/,Ahrefs,target,834221
aerohealthcare.com,sales@aerohealthcare.us.com,aerohealthcare.us.com,external_company_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,contact,direct_page,https://aerohealthcare.com/contact/,Ahrefs,target,834221
aeronbranding.com,enquiries@aeronbranding.com,aeronbranding.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://aeronbranding.com/contact/,Ahrefs,target,807722
aeronbranding.com,matthew.millardbeer@aeronbranding.com,aeronbranding.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://aeronbranding.com/contact/,Ahrefs,target,807722
aeroseal.breezy.hr,you@mycompany.com,mycompany.com,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,21,contact,direct_page,https://aeroseal.breezy.hr/team/signin,Breezy HR,hirevue,>30M
afoitserkezidis.com,info@afoitserkezidis.com,afoitserkezidis.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://afoitserkezidis.com/,Vapi,voice,>30M
afoitserkezidis.com,info@tserkezidisrecycle.com,tserkezidisrecycle.com,external_company_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://afoitserkezidis.com/,Vapi,voice,>30M
afoitserkezidis.com,tserkezidisnicos@gmail.com,gmail.com,third_party_provider,provider_contact,valid_mx,MX/A DNS check only; no mailbox message sent,176,general,direct_page,https://afoitserkezidis.com/,Vapi,voice,>30M
africanlottery.net,admin@africanlottery.net,africanlottery.net,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.africanlottery.net/,Ahrefs,target,480415
afroginthefjord.com,sales@afroginthefjord.com,afroginthefjord.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,1,legal,direct_page,https://afroginthefjord.com/terms-and-conditions-of-sale/,Ahrefs,target,321794
afterhoursbooked.com,hello@afterhoursbooked.com,afterhoursbooked.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://afterhoursbooked.com/,Retell AI,voice,>30M
agapehair-wellness.com,info@agapehair-wellness.com,agapehair-wellness.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://www.agapehair-wellness.com/,Breezy HR,hirevue,>30M
agaysex.com,copyright@agaysex.com,agaysex.com,site_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://www.agaysex.com/contactus.html,Ahrefs,target,118785
agaysex.com,user@host.com,host.com,external_company_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,contact,direct_page,https://www.agaysex.com/about.html,Ahrefs,target,118785
agaysex.com,webmaster@agaysex.com,agaysex.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://www.agaysex.com/contactus.html,Ahrefs,target,118785
agfahealthcare.com,compliance@agfa.com,agfa.com,shared_external_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,legal,direct_page,https://www.agfahealthcare.com/privacy-legal-notice/,Ahrefs,target,81149
agfahealthcare.com,ispriskmanagerhealthcare@agfa.com,agfa.com,shared_external_domain,legal_or_privacy,valid_mx,MX/A DNS check only; no mailbox message sent,2,legal,direct_page,https://www.agfahealthcare.com/information-security-privacy/,Ahrefs,target,81149
agfahealthcare.com,slick-carousel@1.8.1,1.8.1,shared_external_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,19,general,direct_page,https://www.agfahealthcare.com/,Ahrefs,target,81149
aiacademyforbeginners.com,hello@aiacademyforbeginners.com,aiacademyforbeginners.com,site_domain,role_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://aiacademyforbeginners.com/,Vapi,voice,>30M
aiacademyforbeginners.com,partnerships@aiacademyforbeginners.com,aiacademyforbeginners.com,site_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://aiacademyforbeginners.com/contact-us,Vapi,voice,>30M
aialive.app,admin@aialive.app,aialive.app,site_domain,role_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,4,contact,direct_page,https://aialive.app/about,Vapi,voice,>30M
aialive.app,keenan@aialive.app,aialive.app,site_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,4,contact,direct_page,https://aialive.app/about,Vapi,voice,>30M
aialive.app,levelup@v1.7,v1.7,shared_external_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://aialive.app/contact,Vapi,voice,>30M
aialive.app,sam@aialive.app,aialive.app,site_domain,named_or_department_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,4,contact,direct_page,https://aialive.app/about,Vapi,voice,>30M
aialive.app,support@aialive.app,aialive.app,site_domain,role_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,4,general,direct_page,https://aialive.app/,Vapi,voice,>30M
aialive.app,u002flevelup@v1.7,v1.7,shared_external_domain,named_or_department_contact,no_mail_dns,MX/A DNS check only; no mailbox message sent,2,contact,direct_page,https://aialive.app/contact,Vapi,voice,>30M
aiapexsoft.com,contact@aiapexsoft.com,aiapexsoft.com,site_domain,role_contact,valid_a_fallback,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://aiapexsoft.com/,Vapi,voice,>30M
aidemo.smartoptimize.ai,michael@smartoptimize.ai,smartoptimize.ai,external_company_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,1,general,direct_page,https://aidemo.smartoptimize.ai/,Vapi,voice,>30M
aijobs.com,accommodations@adobe.com,adobe.com,shared_external_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.aijobs.com,Breezy HR,hirevue,21867117
aijobs.com,careers@coreweave.com,coreweave.com,shared_external_domain,named_or_department_contact,valid_mx,MX/A DNS check only; no mailbox message sent,2,general,direct_page,https://www.aijobs.com,Breezy HR,hirevue,21867117
