position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_candidates,email_visibility,corporate_status,verification_eligible_emails,valid_emails,invalid_emails,risky_emails,unknown_emails,verification_summary
1,1724,depositphotos.com,no,,,0,,no_email_candidate_in_email_query,popular_brand_review,,,,,,valid=0; invalid=0; risky=0; unknown=0
2,1863,eset.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,popular_brand_review,,,,,,valid=0; invalid=0; risky=0; unknown=0
3,2287,answers.com,yes,,,0,,no_email_candidate_in_email_query,popular_brand_review,,,,,,valid=0; invalid=0; risky=0; unknown=0
4,4684,mlive.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,,,,,,valid=0; invalid=0; risky=0; unknown=0
5,7462,jvzoo.com,yes,https://yoursuccess.typeform.com/to/UOVV2lnt,https://yoursuccess.typeform.com/to/UOVV2lnt,0,,no_email_candidate_in_email_query,popular_brand_review,,,,,,valid=0; invalid=0; risky=0; unknown=0
6,9456,mixpanel.com,no,,,0,,no_email_candidate_in_email_query,popular_brand_review,,,,,,valid=0; invalid=0; risky=0; unknown=0
7,9625,al.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,,,,,,valid=0; invalid=0; risky=0; unknown=0
8,12731,brobible.com,yes,https://getadmiral.typeform.com/to/s8M2nY5H,https://getadmiral.typeform.com/to/s8M2nY5H,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
9,14596,pennlive.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,,,,,,valid=0; invalid=0; risky=0; unknown=0
10,15919,uwe.ac.uk,no,https://api.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/,,1,hrresourcing@uwe.ac.uk,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
11,19343,laprensa.hn,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
12,19791,masslive.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,,,,,,valid=0; invalid=0; risky=0; unknown=0
13,20422,t13.cl,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
14,20694,culturainquieta.com,yes,https://jplww93yyhd.typeform.com/to/VZmxe0r7,https://jplww93yyhd.typeform.com/to/VZmxe0r7,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
15,22626,elheraldo.hn,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
16,23380,80.lv,no,https://80level.typeform.com/,,1,contact@80.lv,showing_email_candidates,not_flagged,contact@80.lv,contact@80.lv,,,,valid=1; invalid=0; risky=0; unknown=0
17,26429,privateemail.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
18,28456,setmore.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
19,29718,flippingbook.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
20,30121,diplomeo.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
21,36007,designmynight.com,no,,,2,katie@designmynight.com ; peaches.fulkes@theaccessgroup.com,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
22,36928,visionguinee.info,yes,https://form.typeform.com/to/ePh2pIv1,https://form.typeform.com/to/ePh2pIv1,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
23,37542,utmb.edu,no,https://embed.typeform.com/,,2,social@utmb.edu ; utmbjobs@utmb.edu,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
24,39253,npl.co.uk,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
25,42528,ouhsc.edu,no,http://form.typeform.com/ ; https://api.typeform.com/ ; https://embed.typeform.com/,,1,webmaster@ouhsc.edu,showing_email_candidates,not_flagged,webmaster@ouhsc.edu,webmaster@ouhsc.edu,,,,valid=1; invalid=0; risky=0; unknown=0
26,45127,7sage.com,no,https://api.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://typekit.typeform.com/ ; https://www.typeform.com/,,1,studentservice@7sage.com,showing_email_candidates,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
27,45232,silive.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,,,,,,valid=0; invalid=0; risky=0; unknown=0
28,48287,mariadb.org,no,https://mariadb.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
29,51681,nuzzel.com,no,https://www.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
30,54229,romualdfons.com,yes,https://bigseomarketing.typeform.com/to/M3D8gj0q ; https://form.typeform.com/to/f0UT2Hjd ; https://form.typeform.com/to/M3D8gj0q ; https://form.typeform.com/to/z23HCju6,https://bigseomarketing.typeform.com/to/M3D8gj0q ; https://form.typeform.com/to/f0UT2Hjd ; https://form.typeform.com/to/M3D8gj0q ; https://form.typeform.com/to/z23HCju6,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
31,60802,hokkfabrica.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
32,64326,lehighvalleylive.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,,,,,,valid=0; invalid=0; risky=0; unknown=0
33,65085,alfred.com,yes,https://makemusic0320.typeform.com/to/dsYpOj,https://makemusic0320.typeform.com/to/dsYpOj,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
34,68405,seotesteronline.com,yes,https://seotesteronline.typeform.com/to/F1R9Vz68 ; https://seotesteronline.typeform.com/to/PU9OHpGg ; https://seotesteronline.typeform.com/to/uANeH21m,https://seotesteronline.typeform.com/to/F1R9Vz68 ; https://seotesteronline.typeform.com/to/PU9OHpGg ; https://seotesteronline.typeform.com/to/uANeH21m,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
35,70057,sporteasy.net,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
36,71610,musicfeeds.com.au,yes,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
37,79356,recoilweb.com,yes,https://cariboumedia.typeform.com/to/dD7vOG,https://cariboumedia.typeform.com/to/dD7vOG,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
38,81442,alexia.fr,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
39,90064,1stnb.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
40,93161,cooljugator.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
41,96007,versio.nl,no,,,0,,no_email_candidate_in_email_query,not_flagged,,,,,,valid=0; invalid=0; risky=0; unknown=0
