position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidates,email_visibility,corporate_status
10,15919,uwe.ac.uk,no,https://api.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/,,hrresourcing@uwe.ac.uk,showing_email_candidates,not_flagged
16,23380,80.lv,no,https://80level.typeform.com/,,contact@80.lv,showing_email_candidates,not_flagged
21,36007,designmynight.com,no,,,katie@designmynight.com ; peaches.fulkes@theaccessgroup.com,showing_email_candidates,not_flagged
23,37542,utmb.edu,no,https://embed.typeform.com/,,social@utmb.edu ; utmbjobs@utmb.edu,showing_email_candidates,not_flagged
25,42528,ouhsc.edu,no,http://form.typeform.com/ ; https://api.typeform.com/ ; https://embed.typeform.com/,,webmaster@ouhsc.edu,showing_email_candidates,not_flagged
26,45127,7sage.com,no,https://api.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://typekit.typeform.com/ ; https://www.typeform.com/,,studentservice@7sage.com,showing_email_candidates,not_flagged
42,101711,eurohandball.com,yes,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://homeofhandball.typeform.com/to/W03Pw3cr,https://homeofhandball.typeform.com/to/W03Pw3cr,handball@ehfmarketing.com ; office@eurohandball.com,showing_email_candidates,not_flagged
59,150970,h2impression.fr,no,https://car-expresso.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://h2impression.typeform.com/ ; https://public-assets.typeform.com/,,info@h2impression.fr ; web@h2impression.fr,showing_email_candidates,not_flagged
67,161879,hautsdefrance.fr,no,https://api.typeform.com/ ; https://embed.typeform.com/,,age-infos@hautsdefrance.fr ; antenne-abbeville@hautsdefrance.fr ; antenne-amiens@hautsdefrance.fr ; antenne-arras@hautsdefrance.fr ; antenne-cambrai@hautsdefrance.fr ; antenne-chateau-thierry@hautsdefrance.fr ; antenne-clermont@hautsdefrance.fr ; antenne-fourmies@hautsdefrance.fr ; antenne-grandvilliers@hautsdefrance.fr ; antenne-hazebrouck@hautsdefrance.fr ; antenne-marck-en-calaisis@hautsdefrance.fr ; antenne-montdidier@hautsdefrance.fr ; antenne-montreuil-sur-mer@hautsdefrance.fr ; antenne-saint-pol-sur-ternoise@hautsdefrance.fr ; antenne-saintquentin@hautsdefrance.fr ; antenne-sallaumines@hautsdefrance.fr ; antenne-soissons@hautsdefrance.fr ; antenne-wallers@hautsdefrance.fr ; atp-infos@hautsdefrance.fr,showing_email_candidates,not_flagged
73,197630,soprema.fr,no,,,formation@soprema.fr,showing_email_candidates,not_flagged
78,210662,repsol.es,no,,,protecciondedatos@repsol.com ; protecciondedatos@repsolluzygas.com ; rgpd.crc@repsol.com,showing_email_candidates,not_flagged
84,228450,velux.com,no,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://velux.typeform.com/,,christian.hansen@velux.com ; stine.paulsen@velux.com,showing_email_candidates,not_flagged
94,246135,nslcleaders.org,no,,,info@nslcleaders.org ; summerscholarships@nslcleaders.org,showing_email_candidates,not_flagged
95,252555,roberts.edu,no,https://embed.typeform.com/,,admissions@roberts.edu,showing_email_candidates,not_flagged
108,279905,argeweb.nl,yes,https://argeweb.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://form.typeform.com/to/Un2WWG2I,https://form.typeform.com/to/Un2WWG2I,support@argeweb.nl,showing_email_candidates,not_flagged
112,284221,vaccination-info.be,no,https://embed.typeform.com/,,notif-hyg@vivalis.brussels ; surveillance.sante@aviq.be,showing_email_candidates,not_flagged
113,285138,japan-experience.com,no,https://embed.typeform.com/,,contact@japan-experience.com,showing_email_candidates,not_flagged
