position,publicwww_rank,domain,homepage_url,emails,mailto_emails,live_typeform_urls,pages_checked,robots_status,http_status
13,20422,t13.cl,https://www.t13.cl/,t13@13.cl,,,0,ok,200
3,2287,answers.com,https://www.answers.com/,support@answers.com ; u003esupport@answers.com,support@answers.com,,2,ok,200
8,12731,brobible.com,https://brobible.com/,brandon@brobible.com ; cass@brobible.com ; clay@brobible.com ; connor@brobible.com ; dougs@brobible.com ; eric@brobible.com ; garrett@brobible.com ; jacob@brobible.com ; jason@brobible.com ; jorge@brobible.com,brandon@brobible.com,https://getadmiral.typeform.com/to/s8M2nY5H,2,ok,200
2,1863,eset.com,https://www.eset.com/,pr@eset.com,,,2,ok,200
17,26429,privateemail.com,https://privateemail.com/,pesupport@namecheap.com ; support@brandstore.com ; support@namecheap.com ; support@spaceship.com,,https://embed.typeform.com/,0,ok,200
16,23380,80.lv,https://80.lv/,arti@80.lv ; editor@80.lv ; k.tokarev@80.lv,,https://80level.typeform.com/,1,ok,200
21,36007,designmynight.com,https://www.designmynight.com/,katie@designmynight.com ; launchdarkly-js-client-sdk@3.2.0,katie@designmynight.com,,2,ok,200
6,9456,mixpanel.com,https://mixpanel.com/home/,d73fef86381aca393554093c8e57ce75@o81318.ingest.us.sentry.io ; support@mixpanel.com,support@mixpanel.com,,2,ok,200
15,22626,elheraldo.hn,https://www.elheraldo.hn/,redaccion@elheraldo.hn,redaccion@elheraldo.hn,,1,ok,200
11,19343,laprensa.hn,https://www.laprensa.hn/,publicidadsps@go.com.hn ; redaccion@laprensa.hn ; suscripciones@go.com.hn ; suscripcionesdigitales@go.com.hn,publicidadsps@go.com.hn ; redaccion@laprensa.hn ; suscripciones@go.com.hn ; suscripcionesdigitales@go.com.hn,,2,ok,200
24,39253,npl.co.uk,https://www.npl.co.uk/,careers@npl.co.uk ; dataprotectionofficer@npl.co.uk ; events@npl.co.uk ; legal@npl.co.uk ; library@npl.co.uk ; mediaenquiries@npl.co.uk ; salesforcesupport@npl.co.uk ; spencer.smith@npl.co.uk,,,2,ok,200
18,28456,setmore.com,https://www.setmore.com:443/,female-gym-coach-instructing-man-crop@2x.png ; female-gym-coach-instructing-man-crop@2x.webp ; female-gym-coach-instructing-man@2x.png ; female-gym-coach-instructing-man@2x.webp ; flags@2x.png ; help@setmore.com ; man-standing-folded-hands-tablet@2x.png ; man-standing-folded-hands-tablet@2x.webp ; man-standing-folded-hands@2x.png ; man-standing-folded-hands@2x.webp ; office-365-integration-mobile@2x.png ; office-365-integration-mobile@2x.webp ; office-365-integration@2x.png ; office-365-integration@2x.webp ; qr-code-appointment-booking-crop@2x.png ; qr-code-appointment-booking-crop@2x.webp ; qr-code-appointment-booking@2x.png ; qr-code-appointment-booking@2x.webp ; sales-team-crop@2x.png ; sales-team-crop@2x.webp ; sales-team@2x.png ; sales-team@2x.webp ; setmore-booking-page-branding@2x.png ; setmore-booking-page-branding@2x.webp ; setmore-booking-page-crop@2x.png ; setmore-booking-page-crop@2x.webp ; setmore-booking-page-integrations@2x.png ; setmore-booking-page-integrations@2x.webp ; setmore-booking-page@2x.png ; setmore-booking-page@2x.webp ; setmore-calendar-crop@2x.png ; setmore-calendar-crop@2x.webp ; setmore-calendar@2x.png ; setmore-calendar@2x.webp ; setmore-online-booking-page@2x.png ; setmore-online-booking-page@2x.webp ; setmore-sales-client-mobile@2x.png ; setmore-sales-client-mobile@2x.webp ; setmore-sales-client@2x.png ; setmore-sales-client@2x.webp ; setmore-scheduling-software-crop@2x.png ; setmore-scheduling-software-crop@2x.webp ; setmore-scheduling-software-tablet@2x.png ; setmore-scheduling-software-tablet@2x.webp ; setmore-scheduling-software@2x.png ; setmore-scheduling-software@2x.webp ; setmore_mockup-calendar-multidevice-crop@2x.png ; setmore_mockup-calendar-multidevice-crop@2x.webp ; setmore_mockup-calendar-multidevice@2x.png ; setmore_mockup-calendar-multidevice@2x.webp ; two-smiling-ladies-customer-service-crop@2x.png ; two-smiling-ladies-customer-service-crop@2x.webp ; two-smiling-ladies-customer-service@2x.png ; two-smiling-ladies-customer-service@2x.webp ; women-with-coat@2x.png ; women-with-coat@2x.webp,help@setmore.com,,2,ok,200
