position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,publicwww_email_query_rows,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason
1,1724,depositphotos.com,no,,,0,,no_email_candidate_in_email_query,popular_brand_review,,0,,,,,,,
2,1863,eset.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,popular_brand_review,,0,,,,,,,
3,2287,answers.com,yes,,,0,,no_email_candidate_in_email_query,popular_brand_review,,0,,,,,,,
4,4684,mlive.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,Advance Local network; do not verify,0,,,,,,,Advance Local excluded
5,7462,jvzoo.com,yes,https://yoursuccess.typeform.com/to/UOVV2lnt,https://yoursuccess.typeform.com/to/UOVV2lnt,0,,no_email_candidate_in_email_query,popular_brand_review,,0,,,,,,,
6,9456,mixpanel.com,no,,,0,,no_email_candidate_in_email_query,popular_brand_review,,0,,,,,,,
7,9625,al.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,Advance Local network; do not verify,0,,,,,,,Advance Local excluded
8,12731,brobible.com,yes,https://getadmiral.typeform.com/to/s8M2nY5H,https://getadmiral.typeform.com/to/s8M2nY5H,0,,no_email_candidate_in_email_query,not_flagged,,0,,,,,,,
9,14596,pennlive.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,Advance Local network; do not verify,0,,,,,,,Advance Local excluded
10,15919,uwe.ac.uk,no,https://api.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/,,1,hrresourcing@uwe.ac.uk,showing_email_candidates,not_flagged,,1,,,,,hrresourcing@uwe.ac.uk,,
11,19343,laprensa.hn,no,,,0,,no_email_candidate_in_email_query,not_flagged,,2,,,,,,,
12,19791,masslive.com,yes,,,0,,no_email_candidate_in_email_query,excluded_advance_local,Advance Local network; do not verify,0,,,,,,,Advance Local excluded
13,20422,t13.cl,no,,,0,,no_email_candidate_in_email_query,not_flagged,,0,,,,,,,
14,20694,culturainquieta.com,yes,https://jplww93yyhd.typeform.com/to/VZmxe0r7,https://jplww93yyhd.typeform.com/to/VZmxe0r7,0,,no_email_candidate_in_email_query,not_flagged,,0,,,,,,,
15,22626,elheraldo.hn,no,,,0,,no_email_candidate_in_email_query,not_flagged,,0,,,,,,,
16,23380,80.lv,no,https://80level.typeform.com/,,1,contact@80.lv,showing_email_candidates,not_flagged,,1,contact@80.lv,,,,,contact@80.lv,
17,26429,privateemail.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,0,,,,,,,
18,28456,setmore.com,no,https://embed.typeform.com/,,0,,no_email_candidate_in_email_query,not_flagged,,0,,,,,,,
19,29718,flippingbook.com,no,,,0,,no_email_candidate_in_email_query,not_flagged,,0,,,,,,,
