position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_query_rows,live_typeform_urls,combined_typeform_urls,scan_mode,homepage_url,robots_status,http_status,pages_checked,live_email_candidates,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason,scan_notes
1,1724,depositphotos.com,no,,,0,0,,,contact_pages,https://depositphotos.com/,unavailable,0,0,,,,no_public_email_found,popular_brand_review,,,,,,,,,ConnectionError
4,4684,mlive.com,yes,,,0,0,,,contact_pages,https://www.mlive.com:443/,ok,403,0,,,,no_public_email_found,excluded_advance_local,Advance Local network; do not verify,,,,,,,Advance Local excluded,http_error
7,9625,al.com,yes,,,0,0,,,contact_pages,https://www.al.com:443/,ok,403,0,,,,no_public_email_found,excluded_advance_local,Advance Local network; do not verify,,,,,,,Advance Local excluded,http_error
9,14596,pennlive.com,yes,,,0,0,,,contact_pages,https://www.pennlive.com:443/,ok,403,0,,,,no_public_email_found,excluded_advance_local,Advance Local network; do not verify,,,,,,,Advance Local excluded,http_error
12,19791,masslive.com,yes,,,0,0,,,contact_pages,https://www.masslive.com:443/,ok,403,0,,,,no_public_email_found,excluded_advance_local,Advance Local network; do not verify,,,,,,,Advance Local excluded,http_error
14,20694,culturainquieta.com,yes,https://jplww93yyhd.typeform.com/to/VZmxe0r7,https://jplww93yyhd.typeform.com/to/VZmxe0r7,0,0,,https://jplww93yyhd.typeform.com/to/vzmxe0r7,contact_pages,,blocked,,0,,,,no_public_email_found,not_flagged,,,,,,,,,robots.txt blocked
20,30121,diplomeo.com,no,,,0,0,,,contact_pages,https://diplomeo.com/,ok,200,1,,,,no_public_email_found,not_flagged,,,,,,,,,
27,45232,silive.com,yes,,,0,0,,,contact_pages,https://www.silive.com:443/,ok,403,0,,,,no_public_email_found,excluded_advance_local,Advance Local network; do not verify,,,,,,,Advance Local excluded,http_error
30,54229,romualdfons.com,yes,https://bigseomarketing.typeform.com/to/M3D8gj0q ; https://form.typeform.com/to/f0UT2Hjd ; https://form.typeform.com/to/M3D8gj0q ; https://form.typeform.com/to/z23HCju6,https://bigseomarketing.typeform.com/to/M3D8gj0q ; https://form.typeform.com/to/f0UT2Hjd ; https://form.typeform.com/to/M3D8gj0q ; https://form.typeform.com/to/z23HCju6,0,0,https://form.typeform.com/to/f0UT2Hjd ; https://form.typeform.com/to/z23HCju6,https://bigseomarketing.typeform.com/to/m3d8gj0q ; https://form.typeform.com/to/f0UT2Hjd ; https://form.typeform.com/to/f0ut2hjd ; https://form.typeform.com/to/m3d8gj0q ; https://form.typeform.com/to/z23hcju6 ; https://form.typeform.com/to/z23HCju6,contact_pages,https://romualdfons.com/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
31,60802,hokkfabrica.com,no,,,0,0,,,contact_pages,,blocked,,0,,,,no_public_email_found,not_flagged,,,,,,,,,robots.txt blocked
