position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_query_rows,live_typeform_urls,combined_typeform_urls,scan_mode,homepage_url,robots_status,http_status,pages_checked,live_email_candidates,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason,scan_notes,email_verification,valid_emails,invalid_emails,risky_emails,unknown_emails,verification_summary
3,2287,answers.com,yes,,,0,0,,,contact_pages,https://www.answers.com/,ok,200,2,support@answers.com ; u003esupport@answers.com,,support@answers.com ; u003esupport@answers.com,showing_email_candidates,popular_brand_review,,support@answers.com,,,,u003esupport@answers.com,support@answers.com,,,support@answers.com=unknown (rate_limited),,,,support@answers.com,valid=0; invalid=0; risky=0; unknown=1
6,9456,mixpanel.com,no,,,0,0,,,contact_pages,https://mixpanel.com/home/,ok,200,2,d73fef86381aca393554093c8e57ce75@o81318.ingest.us.sentry.io ; support@mixpanel.com,,d73fef86381aca393554093c8e57ce75@o81318.ingest.us.sentry.io ; support@mixpanel.com,showing_email_candidates,popular_brand_review,,support@mixpanel.com,,,,d73fef86381aca393554093c8e57ce75@o81318.ingest.us.sentry.io,support@mixpanel.com,,,support@mixpanel.com=unknown (rate_limited),,,,support@mixpanel.com,valid=0; invalid=0; risky=0; unknown=1
29,51681,nuzzel.com,no,https://www.typeform.com/,,0,0,https://www.typeform.com/,https://www.typeform.com/,contact_pages,https://nuzzel.com/,ok,200,2,info@nuzzel.com,,info@nuzzel.com,showing_email_candidates,not_flagged,,info@nuzzel.com,,,,,info@nuzzel.com,,,info@nuzzel.com=unknown (rate_limited),,,,info@nuzzel.com,valid=0; invalid=0; risky=0; unknown=1
46,109978,cybex-online.com,no,,,0,0,,,contact_pages,https://www.cybex-online.com/en/de,ok,200,2,press@cybex-online.com,,press@cybex-online.com,showing_email_candidates,not_flagged,,press@cybex-online.com,,,,,press@cybex-online.com,,,press@cybex-online.com=unknown (rate_limited),,,,press@cybex-online.com,valid=0; invalid=0; risky=0; unknown=1
59,150970,h2impression.fr,no,https://car-expresso.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://h2impression.typeform.com/ ; https://public-assets.typeform.com/,,2,2,,https://car-expresso.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://h2impression.typeform.com/ ; https://public-assets.typeform.com/,contact_pages,https://h2impression.fr/,ok,200,2,bastille@h2copy.fr ; bourse@h2copy.fr ; gobelins@h2copy.fr ; info@h2impression.fr ; montparnasse@h2copy.fr ; textile@h2impression.fr ; vaneau@h2copy.fr ; vincennes@h2copy.fr,info@h2impression.fr ; web@h2impression.fr,bastille@h2copy.fr ; bourse@h2copy.fr ; gobelins@h2copy.fr ; info@h2impression.fr ; montparnasse@h2copy.fr ; textile@h2impression.fr ; vaneau@h2copy.fr ; vincennes@h2copy.fr ; web@h2impression.fr,showing_email_candidates,not_flagged,,info@h2impression.fr ; web@h2impression.fr,,,,bastille@h2copy.fr ; bourse@h2copy.fr ; gobelins@h2copy.fr ; montparnasse@h2copy.fr ; textile@h2impression.fr ; vaneau@h2copy.fr ; vincennes@h2copy.fr,info@h2impression.fr ; web@h2impression.fr,,,info@h2impression.fr=invalid (disposable) ; web@h2impression.fr=invalid (disposable),,info@h2impression.fr ; web@h2impression.fr,,,valid=0; invalid=2; risky=0; unknown=0
148,382520,marriagehelper.com,yes,https://form.typeform.com/to/pbqtBcwl,https://form.typeform.com/to/pbqtBcwl,0,0,https://form.typeform.com/to/pbqtBcwl,https://form.typeform.com/to/pbqtbcwl ; https://form.typeform.com/to/pbqtBcwl,contact_pages,https://marriagehelper.com/,ok,200,2,support@marriagehelper.com,,support@marriagehelper.com,showing_email_candidates,not_flagged,,support@marriagehelper.com,,,,,support@marriagehelper.com,,,support@marriagehelper.com=unknown (rate_limited),,,,support@marriagehelper.com,valid=0; invalid=0; risky=0; unknown=1
193,505010,kvaros.ru,no,,,1,1,,,contact_pages,https://kvaros.ru/,unavailable,0,0,,info@kvaros.ru,info@kvaros.ru,showing_email_candidates,not_flagged,,info@kvaros.ru,,,,,info@kvaros.ru,,SSLError,info@kvaros.ru=invalid (no_mx),,info@kvaros.ru,,,valid=0; invalid=1; risky=0; unknown=0
210,531855,goldcoastfc.com.au,yes,https://typeformdeviomedia.typeform.com/to/WVeQaDXe,https://typeformdeviomedia.typeform.com/to/WVeQaDXe,0,0,https://typeformdeviomedia.typeform.com/to/WVeQaDXe,https://typeformdeviomedia.typeform.com/to/wveqadxe ; https://typeformdeviomedia.typeform.com/to/WVeQaDXe,contact_pages,https://www.goldcoastfc.com.au:443/,unavailable,200,2,academyinfo@goldcoastfc.com.au ; corporate@goldcoastfc.com.au ; digital@goldcoastfc.com.au ; events@goldcoastfc.com.au ; foundation@goldcoastfc.com.au ; gcmembership@goldcoastfc.com.au ; info@goldcoastfc.com.au ; info@heritagebankstadium.com.au ; info@peoplefirststadium.com.au ; jason.torney@goldcoastfc.com.au ; merchandise@goldcoastfc.com.au ; promotions@goldcoastfc.com.au ; recruitment@goldcoastfc.com.au,,academyinfo@goldcoastfc.com.au ; corporate@goldcoastfc.com.au ; digital@goldcoastfc.com.au ; events@goldcoastfc.com.au ; foundation@goldcoastfc.com.au ; gcmembership@goldcoastfc.com.au ; info@goldcoastfc.com.au ; info@heritagebankstadium.com.au ; info@peoplefirststadium.com.au ; jason.torney@goldcoastfc.com.au ; merchandise@goldcoastfc.com.au ; promotions@goldcoastfc.com.au ; recruitment@goldcoastfc.com.au,showing_email_candidates,not_flagged,,info@goldcoastfc.com.au ; recruitment@goldcoastfc.com.au,,,,academyinfo@goldcoastfc.com.au ; corporate@goldcoastfc.com.au ; digital@goldcoastfc.com.au ; events@goldcoastfc.com.au ; foundation@goldcoastfc.com.au ; gcmembership@goldcoastfc.com.au ; info@heritagebankstadium.com.au ; info@peoplefirststadium.com.au ; jason.torney@goldcoastfc.com.au ; merchandise@goldcoastfc.com.au ; promotions@goldcoastfc.com.au,info@goldcoastfc.com.au ; recruitment@goldcoastfc.com.au,,,info@goldcoastfc.com.au=unknown (rate_limited) ; recruitment@goldcoastfc.com.au=unknown (rate_limited),,,,info@goldcoastfc.com.au ; recruitment@goldcoastfc.com.au,valid=0; invalid=0; risky=0; unknown=2
285,819119,sincrolab.es,yes,https://form.typeform.com/to/gXRKz1uO ; https://form.typeform.com/to/Hen8I3Wo ; https://form.typeform.com/to/hkiZJn3Y ; https://form.typeform.com/to/M7Aw2rGh,https://form.typeform.com/to/gXRKz1uO ; https://form.typeform.com/to/Hen8I3Wo ; https://form.typeform.com/to/hkiZJn3Y ; https://form.typeform.com/to/M7Aw2rGh,0,0,https://form.typeform.com/to/gXRKz1uO ; https://form.typeform.com/to/hjCqCr4A,https://form.typeform.com/to/gXRKz1uO ; https://form.typeform.com/to/gxrkz1uo ; https://form.typeform.com/to/hen8i3wo ; https://form.typeform.com/to/hjCqCr4A ; https://form.typeform.com/to/hkizjn3y ; https://form.typeform.com/to/m7aw2rgh,contact_pages,https://sincrolab.es/,ok,200,2,info@sincrolab.es,,info@sincrolab.es,showing_email_candidates,not_flagged,,info@sincrolab.es,,,,,info@sincrolab.es,,,info@sincrolab.es=unknown (rate_limited),,,,info@sincrolab.es,valid=0; invalid=0; risky=0; unknown=1
328,1074573,irishfa.com,no,,,0,0,,,contact_pages,https://www.irishfa.com/,ok,200,2,aonisc.secretary@yahoo.com ; aonisc@yahoo.co.uk ; info@irishfa.com,,aonisc.secretary@yahoo.com ; aonisc@yahoo.co.uk ; info@irishfa.com,showing_email_candidates,not_flagged,,info@irishfa.com,,,,aonisc.secretary@yahoo.com ; aonisc@yahoo.co.uk,info@irishfa.com,,,info@irishfa.com=unknown (rate_limited),,,,info@irishfa.com,valid=0; invalid=0; risky=0; unknown=1
