position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,publicwww_email_query_rows
10,15919,uwe.ac.uk,no,https://api.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/,,1,hrresourcing@uwe.ac.uk,showing_email_candidates,not_flagged,,1
16,23380,80.lv,no,https://80level.typeform.com/,,1,contact@80.lv,showing_email_candidates,not_flagged,,1
21,36007,designmynight.com,no,,,2,katie@designmynight.com ; peaches.fulkes@theaccessgroup.com,showing_email_candidates,not_flagged,,3
23,37542,utmb.edu,no,https://embed.typeform.com/,,2,social@utmb.edu ; utmbjobs@utmb.edu,showing_email_candidates,not_flagged,,1
25,42528,ouhsc.edu,no,http://form.typeform.com/ ; https://api.typeform.com/ ; https://embed.typeform.com/,,1,webmaster@ouhsc.edu,showing_email_candidates,not_flagged,,1
26,45127,7sage.com,no,https://api.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://typekit.typeform.com/ ; https://www.typeform.com/,,1,studentservice@7sage.com,showing_email_candidates,not_flagged,,1
42,101711,eurohandball.com,yes,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://homeofhandball.typeform.com/to/W03Pw3cr,https://homeofhandball.typeform.com/to/W03Pw3cr,2,handball@ehfmarketing.com ; office@eurohandball.com,showing_email_candidates,not_flagged,,2
59,150970,h2impression.fr,no,https://car-expresso.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://h2impression.typeform.com/ ; https://public-assets.typeform.com/,,2,info@h2impression.fr ; web@h2impression.fr,showing_email_candidates,not_flagged,,2
67,161879,hautsdefrance.fr,no,https://api.typeform.com/ ; https://embed.typeform.com/,,19,age-infos@hautsdefrance.fr ; antenne-abbeville@hautsdefrance.fr ; antenne-amiens@hautsdefrance.fr ; antenne-arras@hautsdefrance.fr ; antenne-cambrai@hautsdefrance.fr ; antenne-chateau-thierry@hautsdefrance.fr ; antenne-clermont@hautsdefrance.fr ; antenne-fourmies@hautsdefrance.fr ; antenne-grandvilliers@hautsdefrance.fr ; antenne-hazebrouck@hautsdefrance.fr ; antenne-marck-en-calaisis@hautsdefrance.fr ; antenne-montdidier@hautsdefrance.fr ; antenne-montreuil-sur-mer@hautsdefrance.fr ; antenne-saint-pol-sur-ternoise@hautsdefrance.fr ; antenne-saintquentin@hautsdefrance.fr ; antenne-sallaumines@hautsdefrance.fr ; antenne-soissons@hautsdefrance.fr ; antenne-wallers@hautsdefrance.fr ; atp-infos@hautsdefrance.fr,showing_email_candidates,not_flagged,,2
73,197630,soprema.fr,no,,,1,formation@soprema.fr,showing_email_candidates,not_flagged,,1
78,210662,repsol.es,no,,,3,protecciondedatos@repsol.com ; protecciondedatos@repsolluzygas.com ; rgpd.crc@repsol.com,showing_email_candidates,not_flagged,,4
84,228450,velux.com,no,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://velux.typeform.com/,,2,christian.hansen@velux.com ; stine.paulsen@velux.com,showing_email_candidates,not_flagged,,1
94,246135,nslcleaders.org,no,,,2,info@nslcleaders.org ; summerscholarships@nslcleaders.org,showing_email_candidates,not_flagged,,6
95,252555,roberts.edu,no,https://embed.typeform.com/,,1,admissions@roberts.edu,showing_email_candidates,not_flagged,,6
108,279905,argeweb.nl,yes,https://argeweb.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://form.typeform.com/to/Un2WWG2I,https://form.typeform.com/to/Un2WWG2I,1,support@argeweb.nl,showing_email_candidates,not_flagged,,2
112,284221,vaccination-info.be,no,https://embed.typeform.com/,,2,notif-hyg@vivalis.brussels ; surveillance.sante@aviq.be,showing_email_candidates,not_flagged,,4
113,285138,japan-experience.com,no,https://embed.typeform.com/,,1,contact@japan-experience.com,showing_email_candidates,not_flagged,,2
117,295753,engageinteractive.co.uk,yes,https://embed.typeform.com/ ; https://engageinteractive.typeform.com/to/quJUiZWX ; https://form.typeform.com/to/kfyoVjhc,https://engageinteractive.typeform.com/to/quJUiZWX ; https://form.typeform.com/to/kfyoVjhc,1,hello@engageinteractive.co.uk,showing_email_candidates,not_flagged,,1
119,299758,christophjanz.blogspot.com,yes,http://www.typeform.com/ ; https://embed.typeform.com/ ; https://pointninecap.typeform.com/to/gZKJUl ; https://pointninecap.typeform.com/to/lQTISn ; https://pointninecap.typeform.com/to/lxG7os ; https://pointninecap.typeform.com/to/NvAdFu ; https://pointninecap.typeform.com/to/RgRN1R ; https://www.typeform.com/ ; https://xxx.typeform.com/,https://pointninecap.typeform.com/to/gZKJUl ; https://pointninecap.typeform.com/to/lQTISn ; https://pointninecap.typeform.com/to/lxG7os ; https://pointninecap.typeform.com/to/NvAdFu ; https://pointninecap.typeform.com/to/RgRN1R,1,christoph@pointninecap.com,showing_email_candidates,not_flagged,,1
124,307123,growthhackingfrance.com,no,,,1,bienvenue@isoluce.net,showing_email_candidates,not_flagged,,1
127,308922,spid.center,no,https://embed.typeform.com/,,3,doronkin@spid.center ; melnikova@spid.center ; vorobieva@spid.center,showing_email_candidates,not_flagged,,1
130,315480,wanatop.com,no,https://embed.typeform.com/ ; https://form.typeform.com/,,1,negocio@wanatop.com,showing_email_candidates,not_flagged,,1
134,326877,pulsarplatform.com,no,https://embed.typeform.com/,,1,info@pulsarplatform.com,showing_email_candidates,not_flagged,,7
151,389212,fcc-fac.ca,yes,https://fcc-fac.typeform.com/to/MRsDgFBn,https://fcc-fac.typeform.com/to/MRsDgFBn,1,csc@fcc-fac.ca,showing_email_candidates,not_flagged,,5
154,398254,byrne.com,yes,https://byrneelectrical.typeform.com/to/uoqoJo8H,https://byrneelectrical.typeform.com/to/uoqoJo8H,1,help@byrne.com,showing_email_candidates,not_flagged,,2
164,421987,susandavid.com,no,,,1,info@susandavid.com,showing_email_candidates,not_flagged,,1
177,459508,velux.ch,no,,,1,erlebniswelt@velux.ch,showing_email_candidates,not_flagged,,1
178,460521,fhnb.com,no,,,1,sabrina.pomeroy@fhnb.com,showing_email_candidates,not_flagged,,1
193,505010,kvaros.ru,no,,,1,info@kvaros.ru,showing_email_candidates,not_flagged,,1
205,523616,brightbraincentre.co.uk,no,,,1,info@brightbraincentre.co.uk,showing_email_candidates,not_flagged,,1
208,530570,easy-therm.com,no,,,1,anfrage@easy-therm.com,showing_email_candidates,not_flagged,,2
211,537359,fiawec.com,no,,,1,hospitality@fiawec.com,showing_email_candidates,not_flagged,,1
219,563249,inequaligram.net,no,,,1,info@speakerscorner.co.uk,showing_email_candidates,not_flagged,,7
224,586774,unicef.org.au,no,,,4,abennett@unicef.org.au ; aquigley@unicef.org.au ; philanthropy@unicef.org.au ; support@unicef.org.au,showing_email_candidates,not_flagged,,2
225,586901,rps.org,no,,,2,dan@rps.org ; liz@rps.org,showing_email_candidates,not_flagged,,2
253,654093,improvehealth.info,no,,,1,info@menopausecare.co.uk,showing_email_candidates,not_flagged,,1
271,737440,minifiglabs.com,yes,https://fishntoast.typeform.com/to/NIPrvGbJ,https://fishntoast.typeform.com/to/NIPrvGbJ,1,scientist@minifiglabs.com,showing_email_candidates,not_flagged,,1
292,838743,dragonflimedia.com,no,,,1,hdhonau@dragonflimedia.com,showing_email_candidates,not_flagged,,7
315,967946,mysecureadvantage.com,no,,,1,privacy@mysecureadvantage.com,showing_email_candidates,not_flagged,,1
317,990537,drpaulo.com.br,no,,,1,drpaulo@drpaulo.com.br,showing_email_candidates,not_flagged,,6
322,1035781,justbit.it,no,,,1,info@justbit.it,showing_email_candidates,not_flagged,,6
