position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,publicwww_email_query_rows,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason,valid_emails,verification_summary
16,23380,80.lv,no,https://80level.typeform.com/,,1,contact@80.lv,showing_email_candidates,not_flagged,,1,contact@80.lv,,,,,contact@80.lv,,contact@80.lv,valid=1; invalid=0; risky=0; unknown=0
25,42528,ouhsc.edu,no,http://form.typeform.com/ ; https://api.typeform.com/ ; https://embed.typeform.com/,,1,webmaster@ouhsc.edu,showing_email_candidates,not_flagged,,1,webmaster@ouhsc.edu,,,,,webmaster@ouhsc.edu,,webmaster@ouhsc.edu,valid=1; invalid=0; risky=0; unknown=0
42,101711,eurohandball.com,yes,https://embed.typeform.com/ ; https://form.typeform.com/ ; https://homeofhandball.typeform.com/to/W03Pw3cr,https://homeofhandball.typeform.com/to/W03Pw3cr,2,handball@ehfmarketing.com ; office@eurohandball.com,showing_email_candidates,not_flagged,,2,office@eurohandball.com,,,,handball@ehfmarketing.com,office@eurohandball.com,,office@eurohandball.com,valid=1; invalid=0; risky=0; unknown=0
94,246135,nslcleaders.org,no,,,2,info@nslcleaders.org ; summerscholarships@nslcleaders.org,showing_email_candidates,not_flagged,,6,info@nslcleaders.org,,,,summerscholarships@nslcleaders.org,info@nslcleaders.org,,info@nslcleaders.org,valid=1; invalid=0; risky=0; unknown=0
95,252555,roberts.edu,no,https://embed.typeform.com/,,1,admissions@roberts.edu,showing_email_candidates,not_flagged,,6,admissions@roberts.edu,,,,,admissions@roberts.edu,,admissions@roberts.edu,valid=1; invalid=0; risky=0; unknown=0
108,279905,argeweb.nl,yes,https://argeweb.typeform.com/ ; https://embed.typeform.com/ ; https://form.typeform.com/ ; https://form.typeform.com/to/Un2WWG2I,https://form.typeform.com/to/Un2WWG2I,1,support@argeweb.nl,showing_email_candidates,not_flagged,,2,support@argeweb.nl,,,,,support@argeweb.nl,,support@argeweb.nl,valid=1; invalid=0; risky=0; unknown=0
113,285138,japan-experience.com,no,https://embed.typeform.com/,,1,contact@japan-experience.com,showing_email_candidates,not_flagged,,2,contact@japan-experience.com,,,,,contact@japan-experience.com,,contact@japan-experience.com,valid=1; invalid=0; risky=0; unknown=0
117,295753,engageinteractive.co.uk,yes,https://embed.typeform.com/ ; https://engageinteractive.typeform.com/to/quJUiZWX ; https://form.typeform.com/to/kfyoVjhc,https://engageinteractive.typeform.com/to/quJUiZWX ; https://form.typeform.com/to/kfyoVjhc,1,hello@engageinteractive.co.uk,showing_email_candidates,not_flagged,,1,hello@engageinteractive.co.uk,,,,,hello@engageinteractive.co.uk,,hello@engageinteractive.co.uk,valid=1; invalid=0; risky=0; unknown=0
134,326877,pulsarplatform.com,no,https://embed.typeform.com/,,1,info@pulsarplatform.com,showing_email_candidates,not_flagged,,7,info@pulsarplatform.com,,,,,info@pulsarplatform.com,,info@pulsarplatform.com,valid=1; invalid=0; risky=0; unknown=0
154,398254,byrne.com,yes,https://byrneelectrical.typeform.com/to/uoqoJo8H,https://byrneelectrical.typeform.com/to/uoqoJo8H,1,help@byrne.com,showing_email_candidates,not_flagged,,2,help@byrne.com,,,,,help@byrne.com,,help@byrne.com,valid=1; invalid=0; risky=0; unknown=0
164,421987,susandavid.com,no,,,1,info@susandavid.com,showing_email_candidates,not_flagged,,1,info@susandavid.com,,,,,info@susandavid.com,,info@susandavid.com,valid=1; invalid=0; risky=0; unknown=0
205,523616,brightbraincentre.co.uk,no,,,1,info@brightbraincentre.co.uk,showing_email_candidates,not_flagged,,1,info@brightbraincentre.co.uk,,,,,info@brightbraincentre.co.uk,,info@brightbraincentre.co.uk,valid=1; invalid=0; risky=0; unknown=0
